ano,mes,id_vendedor,meta_misc,meta_cobertura,meta_cobro
2018,5,153,1000000,20,8000000
2018,5,3895,500000,35,2800000
2018,5,4507,500000,18,7500000
2018,5,5027,800000,15,1000000
2018,5,5343,,,1800000
2018,5,3807,,,7300000
2018,5,496,,,2500000
2018,5,32,800000,45,
2018,5,34,1000000,45,
2018,5,75,1000000,50,
2018,5,686,1500000,50,
2018,5,78,800000,50,
2018,5,848,500000,30,
2018,5,117,600000,35,4100000
2018,5,90,800000,35,8500000
2018,5,1032,500000,25,3800000
2018,5,68,600000,45,1300000
2018,5,4473,600000,30,3000000
2018,5,5216,,,8000000
2018,5,4334,,,9000000
2018,5,4487,,,6800000
2018,5,13,300000,50,
2018,5,6093,300000,20,
2018,5,4256,500000,50,
2018,5,6157,300000,,
2018,5,5491,300000,35,
2018,5,6078,300000,20,
